"day","hour","x1"
1,0,268.0
1,1,318.0
1,2,94.0
1,3,176.0
1,4,253.0
1,5,555.0
1,6,762.0
1,7,1340.0
1,8,1018.0
1,9,828.5
1,10,453.0
1,11,369.0
1,12,261.0
1,13,379.0
1,14,339.0
1,15,338.5
1,16,310.5
1,17,340.5
1,18,302.0
1,19,359.0
1,20,389.0
1,21,390.0
1,22,416.5
1,23,489.5
2,0,574.0
2,1,911.0
2,2,563.0
2,3,777.0
2,4,816.0
2,5,1463.5
2,6,1202.0
2,7,1769.0
2,8,2053.0
2,9,1113.0
2,10,896.5
2,11,556.0
2,12,388.0
2,13,444.0
2,14,472.0
2,15,582.0
2,16,464.0
2,17,469.0
2,18,446.0
2,19,411.5
2,20,374.0
2,21,438.0
2,22,431.0
2,23,539.5
3,0,615.0
3,1,765.5
3,2,504.0
3,3,578.0
3,4,441.5
3,5,2612.5
3,6,303.0
3,7,1199.5
3,8,1140.0
3,9,1774.0
3,10,1016.0
3,11,655.0
3,12,420.0
3,13,485.0
3,14,472.0
3,15,461.0
3,16,424.5
3,17,479.0
3,18,451.0
3,19,395.0
3,20,321.0
3,21,366.0
3,22,394.0
3,23,435.0
4,0,478.0
4,1,593.5
4,2,469.0
4,3,504.5
4,4,693.0
4,5,680.5
4,6,954.0
4,7,1359.0
4,8,1834.0
4,9,1578.0
4,10,898.0
4,11,600.5
4,12,322.0
4,13,414.0
4,14,415.0
4,15,371.0
4,16,336.0
4,17,290.0
4,18,268.0
4,19,282.0
4,20,238.0
4,21,215.0
4,22,249.0
4,23,289.0
5,0,363.5
5,1,458.5
5,2,672.0
5,3,878.5
5,4,1094.0
5,5,1519.5
5,6,1688.0
5,7,2296.0
5,8,2284.0
5,9,1747.5
5,10,968.0
5,11,658.0
5,12,459.0
5,13,366.5
5,14,319.0
5,15,265.0
5,16,268.5
5,17,244.0
5,18,189.0
5,19,160.0
5,20,126.0
5,21,88.0
5,22,80.0
5,23,88.0
6,0,96.0
6,1,139.0
6,2,192.5
6,3,308.0
6,4,362.0
6,5,634.0
6,6,740.0
6,7,1149.0
6,8,1160.5
6,9,859.0
6,10,656.0
6,11,456.0
6,12,359.0
6,13,234.5
6,14,193.0
6,15,182.0
6,16,150.0
6,17,140.0
6,18,113.0
6,19,103.0
6,20,88.0
6,21,71.0
6,22,67.0
6,23,71.0
7,0,79.0
7,1,101.0
7,2,150.0
7,3,243.0
7,4,354.0
7,5,543.0
7,6,531.5
7,7,974.0
7,8,846.5
7,9,876.0
7,10,589.0
7,11,442.5
7,12,347.5
7,13,283.5
7,14,209.5
7,15,189.0
7,16,161.0
7,17,144.0
7,18,140.0
7,19,148.0
7,20,145.0
7,21,157.0
7,22,174.0
7,23,178.0
